SMILES,status,old_value,new_value
2847725,CHANGED,188.1,460.1
999916448,DELETED,306.15,None
594116,VALIDATED,273.88,273.88
293550,VALIDATED,448.15,448.15
287230,VALIDATED,284.45,284.45
109193,CHANGED,175.7,448.85
999912560,DELETED,300,None
5794036,CHANGED,319.15,432.7
125735366,DELETED,324.65,None
7182094,DELETED,330.15,None
699149,DELETED,332.15,None
760123,DELETED,337.85,None
1601736,DELETED,369.15,None
77736,DELETED,359.15,None
333368,CHANGED,610.06,337

32665239,CHANGED,141.8,414.95
16885997,CHANGED,349.15,529.35
79958,CHANGED,392.85,666.05
20638522,CHANGED,316.1,526.67

55554091,DELETED,411.15,None
999939982,DELETED,470.15,None

40571457,DELETED,273.15,None
5440891,DELETED,366.15,None
51771687,DELETED,384.65,None
7306129,DELETED,401.1,None

122725,DELETED,500.15,None
61363880,DELETED,360.1,None
61363868,DELETED,374.1,None
120945,CHANGED,278.3,353.7

2051607,CHANGED,391.1,547.2
4744096,CHANGED,146.5,419.65
630013,DELETED,534.15,None
5223596,DELETED,665.67,None
1530058,DELETED,506.15,None
32398677,DELETED,402.0,None
3319015,DELETED,377.15,None
541026,DELETED,583.0,None
38146995,DELETED,416.0,None


