SMILES,status,old_value,new_value,comments
2847725,CHANGED,188.1,460.1,nist['wrong value - change value to kelvin']
999916448,DELETED,306.15,None,None
109193,CHANGED,175.7,448.85,nist['wrong value - change value to kelvin']
999912560,DELETED,300,None,None
5794036,CHANGED,319.15,432.7
125735366,DELETED,324.65,None,None
7182094,DELETED,330.15,None,None
699149,DELETED,332.15,None,None
760123,DELETED,337.85,None,nist['wrong value - should be around 512k']
1601736,DELETED,369.15,None,nist['wrong value - should be around 502k']
77736,DELETED,359.15,None,nist['confirmed value - reference of 1990 is right (443.2)]
333368,CHANGED,610.06,337,None
32665239,CHANGED,141.8,414.95,nist['wrong value - change value to kelvin']
16885997,CHANGED,349.15,529.35,nist['wrong value - should be around 529k']
79958,CHANGED,392.85,666.05,nist['wrong value - should be around 675k']
20638522,CHANGED,316.1,526.67,None
55554091,DELETED,411.15,None,nist['wrong value - should be around 570k']
999939982,DELETED,470.15,None,None
40571457,DELETED,273.15,None,nist['wrong value - should be around 390k']
5440891,DELETED,366.15,None,nist['wrong value - should be around 490k']
51771687,DELETED,385.0,None,nist['wrong value - should be around 504k']
7306129,DELETED,401.1,None,None
122725,DELETED,500.15,None,nist['wrong value - should be around 520k']
61363880,DELETED,360.1,None,None
61363868,DELETED,374.1,None,None
120945,CHANGED,278.3,353.7,None
2051607,CHANGED,391.1,547.2,None
4744096,CHANGED,146.5,419.65,nist['wrong value - change value to kelvin']
630013,DELETED,534.15,None,nist['wrong value - should be around 700k']
5223596,DELETED,665.67,None,nist['wrong value - should be around 560k']
1530058,DELETED,506.15,None,nist['wrong value - should be around 605k']
32398677,DELETED,402.0,None,nist['wrong value - should be around 560k']
3319015,DELETED,377.15,None,None
541026,DELETED,583.0,None,None
38146995,DELETED,416.0,None,None
1516172,CHANGED,356.1,459.65,None
20883163,DELETED,410.1,None,None
2117115,CHANGED,300.45,399.65,nist['confirmed value - reference of 1990 is right (399.7)]
2981104,CHANGED,386.15,535.35,None
1614922,DELETED,372.15,None,None
7182107,DELETED,338.65,None,None
56052143,DELETED,448.65,None,nist['wrong value - should be around 558k']
131555,DELETED,602.85,None,None
112447,DELETED,545.15,None,None
100072,CHANGED,417.15,535.65,nist['wrong value - should be around 537k']
120525680,DELETED,380.65,None,None
120525840,DELETED,374.65,None,None
21542961,DELETED,593.1,None,nist['wrong value - should be around 650k']
2396852,DELETED,387.15,None,nist['wrong value - should be around 500k']
333368,CHANGED,610.06,337,None
999930982,DELETED,470.15,None,None
34757409,DELETED,313.15,None,None
22644286,DELETED,367.15,None,nist['wrong value - should be around 470k']
821114,DELETED,373.1,None,nist['wrong value - should be around 490k']
24655661,DELETED,357.65,None,None
13002089,DELETED,372.45,None,nist['wrong value - should be around 500k']
105828,DELETED,367.85,None,nist['confirmed value - reference of 1925 is right (417.0)]
871227,CHANGED,415.5,459.0,nist['confirmed value - reference of 1925 is right (459.0)]
6572903,DELETED,407.1,None,None
20379991,DELETED,382.65,None,None
111422,CHANGED,651.15,544.2,None
24893354,DELETED,347.05,None,nist['wrong value - should be around 470k']
17264027,DELETED,374.0,None,None
209223,DELETED,625.1,None,None
49833127,DELETED,593.15,None,None
230262,DELETED,578.1,None,None
50215,DELETED,395.2,None,None
624204,DELETED,360.15,None,nist['wrong value - should be around 490k']
6423025,DELETED,355.65,None,nist['wrong value - should be around 490k']
2040075,CHANGED,383.15,519.7,nist['wrong value - should be around 475k']
91010,CHANGED,456.15,570.7,None
288880,CHANGED,477.15,533.2,nist['confirmed value - reference of 1990 is right (533.2)]
106332,CHANGED,463.15,542.15,nist['wrong value - should be around 540k']
61363846,DELETED,361.65,None,None
124049,DELETED,478.649,None,None
999902657,DELETED,355.15,None,None
15869746,DELETED,362.65,None,None
67102992,DELETED,608.0,None,None
7119940,DELETED,394.7,None,nist['wrong value - should be around 520k']
10324579,DELETED,359.1,None,None
94508,DELETED,532.55,None,nist['wrong value - should be around 590k']
79276,CHANGED,397.95,516.7,None
4427741,DELETED,333.65,None,None
946394,DELETED,360.0,None,None
646139,DELETED,624.15,None,None
29619645,DELETED,379.15,None,nist['wrong value - should be around 506k']
2177879,DELETED,374.15,None,nist['wrong value - should be around 485k']


